pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
16.508	19.402	4.77208	2.54927	0.546326	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	0.0773909	0.102223	0.579811	0.37976	3.02948	
16.2983	19.5433	4.78312	2.57637	0.545447	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.0771484	0.102089	0.577725	0.378469	0.490667	
16.0735	19.6347	4.77798	2.61737	0.558756	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	0.0769893	0.102226	0.575673	0.377334	9.9861	
15.8745	19.7682	4.7814	2.6397	0.554122	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.0768019	0.102288	0.573636	0.37616	0.670236	
15.6792	19.8923	4.77385	2.65426	0.536497	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	0.0765697	0.102311	0.571613	0.374903	3.96318	
15.4637	20.0265	4.78785	2.67577	0.53143	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0.0763481	0.102198	0.569611	0.373621	1.31958	
15.2604	20.1601	4.79221	2.68986	0.517716	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	0.0760999	0.101959	0.567636	0.372321	6.2611	
15.0666	20.2882	4.79042	2.7054	0.509667	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	0.0758383	0.101642	0.565696	0.371055	2.12962	
14.8399	20.3733	4.78958	2.73547	0.513248	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	0.0755781	0.101355	0.563774	0.369791	1.81147	
14.6262	20.4861	4.79397	2.75467	0.507897	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.0753253	0.101024	0.561878	0.368572	0.86957	
14.3979	20.5723	4.79781	2.78294	0.511715	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	0.0750734	0.100693	0.559998	0.367358	1.01895	
14.1559	20.6439	4.80443	2.81346	0.515232	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.0748222	0.100375	0.558129	0.366141	0.694839	
13.9249	20.7151	4.8062	2.84238	0.51963	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.0745738	0.100062	0.556277	0.364928	0.253617	
