pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
14.629	20.5234	4.75827	2.7838	0.847179	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.0778781	0.123733	0.972536	1.06724	0.510512	
14.3697	20.629	5.24303	2.8224	0.907691	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	0.077632	0.123355	0.969879	1.06363	0.801531	
14.1189	20.6909	5.20567	2.89212	0.996001	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.0774483	0.122954	0.967319	1.0602	0.789707	
13.875	20.7692	5.11365	2.90166	0.663552	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.077322	0.122565	0.964468	1.05675	0.0695502	
13.5681	20.8415	5.56908	2.92318	0.559337	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	0.0777834	0.122191	0.963274	1.05326	1.35058	
13.3407	20.8614	5.23646	3.02011	0.986077	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	0.0781619	0.121789	0.960922	1.05059	0.954985	
13.1195	20.8719	4.94694	3.09964	1.09506	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.0783898	0.121455	0.957918	1.04921	0.132186	
12.9296	20.908	4.30257	3.10681	0.703311	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	0.0782838	0.12116	0.955544	1.04753	1.97517	
12.7877	20.9458	3.8463	3.16449	0.85162	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	0.0780876	0.120882	0.955487	1.04645	1.19438	
12.5248	20.9923	4.64052	3.12414	0.510649	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	0.0778453	0.120572	0.952521	1.0441	3.0405	
12.2249	21.0842	5.26211	3.01923	-0.0819256	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.0776785	0.120189	0.949994	1.0408	0.187545	
12.0099	21.0863	5.20072	3.14983	0.83264	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.077445	0.119812	0.947399	1.03813	0.819798	
11.7562	21.0321	5.15734	3.23257	0.85436	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	0.0772349	0.119625	0.944668	1.03659	1.98338	
11.5186	21.0001	4.77492	3.25402	0.525162	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	0.0770151	0.11968	0.941763	1.03483	1.04265	
11.3222	21.007	4.54146	3.29049	0.596322	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.0767988	0.119724	0.939324	1.03316	0.335039	
